event.discipline,athlete.fis_code,athlete.name,athlete.nsa_code,final_appearances,wins,podiums
Women's Moguls,2530720,ANTHONY Jakara,AUS,15,13,15
Men's Moguls,2484937,KINGSBURY Mikael,CAN,21,11,21
Men's Moguls,2529645,HORISHIMA Ikuma,JPN,23,10,17
Women's Moguls,2531156,LAFFONT Perrine,FRA,17,5,15
Women's Moguls,2529064,KAUF Jaelin,USA,22,3,15
Women's Moguls,2534251,HOGG Kasey,USA,7,3,3
Women's Moguls,2532241,GIACCIO Olivia,USA,15,2,12
Men's Moguls,2441426,GRAHAM Matt,AUS,11,2,6
Men's Moguls,2537180,MICKEL Charlie,USA,8,2,4
Men's Moguls,2534089,MARCELLINI Dylan,USA,4,2,2
Men's Moguls,2532001,WALLBERG Walter,SWE,14,1,8
Men's Moguls,2535304,BEAULIEU Charles,CAN,7,1,5
Men's Moguls,2533462,PAGE Nick,USA,16,1,5
Men's Moguls,2530514,CAVET Benjamin,FRA,11,1,4
Women's Moguls,2533204,SCHWINGHAMMER,CAN,12,1,4
Women's Moguls,2532270,JOHNSON Tess,USA,10,1,3
Women's Moguls,2534852,KAWAMURA Anri,JPN,3,1,3
Women's Moguls,2533613,LINTON Jessica,CAN,3,1,3
Men's Moguls,2535306,DAWSON Quinn,CAN,2,1,1
Women's Moguls,2534866,KARIOTIS Kylie,USA,4,1,1
Men's Moguls,2539395,KOEHLER Bradley,CAN,3,1,1
Women's Moguls,2538248,LAROCHE Florence,CAN,2,1,1
Men's Moguls,2534858,GRAVENFORS Filip,SWE,10,0,6
Women's Moguls,2534235,MIKKELSEN Maya,CAN,6,0,4
Women's Moguls,2534528,KOEHLER Ashley,CAN,4,0,3
Women's Moguls,2537762,LEMLEY Elizabeth,USA,7,0,3
Women's Moguls,2532031,TOMITAKA Hinako,JPN,9,0,3
Men's Moguls,2534451,GOODISON Samuel,CAN,3,0,2
Men's Moguls,2528846,KOLMAKOV Pavel,KAZ,4,0,2
Women's Moguls,2531373,SOAR Hannah,USA,7,0,2
Men's Moguls,2532513,VAILLANCOURT Elliot,CAN,3,0,2
Women's Moguls,2532040,YANAGIMOTO Rino,JPN,8,0,2
Women's Moguls,2537580,AYAD Anabel,USA,2,0,1
Men's Moguls,2538309,BOUGIE Jean-,CAN,1,0,1
Men's Moguls,2537322,CAREY Cole,CAN,2,0,1
Women's Moguls,2529074,CARROLL Avital,AUT,3,0,1
Men's Moguls,2532530,CORDELL Sam,CAN,2,0,1
Men's Moguls,2535639,DROUIN Xavier,CAN,1,0,1
Men's Moguls,2531908,HIRAYAMA Shota,JPN,2,0,1
Men's Moguls,2538994,HUFF Porter,USA,4,0,1
Men's Moguls,2534856,JUNG Daeyoon,KOR,4,0,1
Men's Moguls,2537833,MICHEL Asher,USA,4,0,1
Men's Moguls,2534511,McDONALD Cole,USA,4,0,1
Men's Moguls,2528035,PENTTALA Olli,FIN,3,0,1
Men's Moguls,2530702,PORTELLO Ryan,CAN,1,0,1
Women's Moguls,2531871,SHAFFER Lulu,USA,1,0,1
Women's Moguls,2535377,SLETTENE Skylar,USA,1,0,1
Men's Moguls,2534074,VIEL Julien,CAN,7,0,1
Men's Moguls,2533386,VIERELA Severi,FIN,3,0,1
Men's Moguls,2534140,WENDLER Landon,USA,3,0,1
Men's Moguls,2532161,WOODS Cooper,AUS,1,0,1
Men's Moguls,2533687,AHVENAINEN Akseli,FIN,0,0,0
Men's Moguls,2537920,ALVA Isaac,USA,0,0,0
Women's Moguls,2532085,AMRENOVA Ayaulym,KAZ,0,0,0
Men's Moguls,2535067,ANDREEV Nikita,AIN,0,0,0
Men's Moguls,2540766,AOKI Kai,JPN,0,0,0
Women's Moguls,2534377,ASANO Shiori,JPN,0,0,0
Women's Moguls,2538696,AUGER-HAMELIN,CAN,0,0,0
Women's Moguls,2537846,BABCOCK Tillie,USA,0,0,0
Men's Moguls,2533573,BAEK Hyun-Min,KOR,0,0,0
Men's Moguls,2539086,BARTZIOKAS Justin,CAN,0,0,0
Men's Moguls,2538310,BAVARO Gaetano,USA,0,0,0
Women's Moguls,2538819,BEAULIEU Maelle,CAN,0,0,0
Men's Moguls,2533390,BEAUREGARD Ian,USA,0,0,0
Men's Moguls,2530808,BELLUCCI Massimo,ITA,0,0,0
Men's Moguls,2534863,BERG Gordon,SWE,0,0,0
Women's Moguls,2532759,BERGHUIS Janneke,NED,0,0,0
Women's Moguls,2535376,BERGHUIS Laura,NED,0,0,0
Men's Moguls,2533563,BERTRAND Felix,CAN,0,0,0
Women's Moguls,2538642,BERTRAND Lise,FRA,0,0,0
Women's Moguls,2534372,BIERENS Pien,NED,0,0,0
Men's Moguls,2538057,BILLEISEN Peyton,USA,0,0,0
Men's Moguls,2539667,BLANCHARD Elwan,CAN,0,0,0
Men's Moguls,2536762,BOBYN George,CAN,0,0,0
Men's Moguls,2532859,BONDAREV Anton,KAZ,0,0,0
Men's Moguls,2537882,BOONE Stephen,USA,1,0,0
Women's Moguls,2537766,BOOTH Mckenna,USA,0,0,0
Women's Moguls,2532927,BOSCO Emma,AUS,1,0,0
Men's Moguls,2535636,BOUCHER Frederic,CAN,0,0,0
Men's Moguls,2538855,BOUGIE Louis-,CAN,0,0,0
Men's Moguls,2532799,BOURDETTE Marius,FRA,0,0,0
Women's Moguls,2539124,BOYCHUK Citrine,CAN,0,0,0
Women's Moguls,2537639,BOYCHUK Jada,CAN,0,0,0
Women's Moguls,2539249,BOYLE Claire,USA,0,0,0
Men's Moguls,2538441,BOYLE Wyatt,USA,0,0,0
Women's Moguls,2531523,BROWN Berkley,CAN,0,0,0
Women's Moguls,2537763,BUCKMASTER Alicia,USA,0,0,0
Men's Moguls,2535809,BUGAKOV Fyodor,KAZ,0,0,0
Men's Moguls,2538225,BURNYEAT Brian,CAN,0,0,0
Men's Moguls,2533002,BUZZI Enea,SUI,0,0,0
