event.event,event.event_date,event.venue,event.discipline,event.level,athlete.fis_code,athlete.name,athlete.rank,win,podium
FIS FREESTYLE SKI WORLD CUP 2023,16 DEC 2022,ALPE D'HUEZ (FRA),Men's Moguls,Results Final 2,2529645,HORISHIMA Ikuma,1,True,True
FIS FREESTYLE SKI WORLD CUP 2023,16 DEC 2022,ALPE D'HUEZ (FRA),Women's Moguls,Results Final 2,2530720,ANTHONY Jakara,1,True,True
FIS FREESTYLE SKI WORLD CUP 2023,16 DEC 2022,ALPE D'HUEZ (FRA),Women's Moguls,Results Final 2,2531156,LAFFONT Perrine,2,False,True
FIS FREESTYLE SKI WORLD CUP 2023,16 DEC 2022,ALPE D'HUEZ (FRA),Women's Moguls,Results Final 2,2529064,KAUF Jaelin,6,False,False
FIS FREESTYLE SKI WORLD CUP 2023,10 DEC 2022,IDRE FJÄLL (SWE),Women's Moguls,Results Final 2,2530540,GERKEN SCHOFIELD,6,False,False
FIS FREESTYLE SKI WORLD CUP 2023,16 DEC 2022,ALPE D'HUEZ (FRA),Women's Moguls,Results Final 2,2530540,GERKEN SCHOFIELD,4,False,False
FIS FREESTYLE SKI WORLD CUP 2023,16 DEC 2022,ALPE D'HUEZ (FRA),Women's Moguls,Results Final 2,2532040,YANAGIMOTO Rino,5,False,False
FIS FREESTYLE SKI WORLD CUP 2023,10 DEC 2022,IDRE FJÄLL (SWE),Women's Moguls,Results Final 2,2537762,LEMLEY Elizabeth,5,False,False
FIS FREESTYLE SKI WORLD CUP 2023,27 JAN 2023,VAL ST. COME (CAN),Women's Moguls,Results Final 2,2529064,KAUF Jaelin,3,False,True
FIS FREESTYLE SKI WORLD CUP 2023,27 JAN 2023,VAL ST. COME (CAN),Women's Moguls,Results Final 2,2532040,YANAGIMOTO Rino,6,False,False
FIS FREESTYLE SKI WORLD CUP 2023,10 DEC 2022,IDRE FJÄLL (SWE),Women's Moguls,Results Final 2,2530720,ANTHONY Jakara,1,True,True
FIS FREESTYLE SKI WORLD CUP 2023,10 DEC 2022,IDRE FJÄLL (SWE),Women's Moguls,Results Final 2,2532241,GIACCIO Olivia,4,False,False
FIS FREESTYLE SKI WORLD CUP 2023,27 JAN 2023,VAL ST. COME (CAN),Women's Moguls,Results Final 2,2534852,KAWAMURA Anri,1,True,True
FIS FREESTYLE SKI WORLD CUP 2023,16 DEC 2022,ALPE D'HUEZ (FRA),Men's Moguls,Results Final 2,2484937,KINGSBURY Mikael,2,False,True
FIS FREESTYLE SKI WORLD CUP 2023,16 DEC 2022,ALPE D'HUEZ (FRA),Men's Moguls,Results Final 2,2532001,WALLBERG Walter,6,False,False
FIS FREESTYLE SKI WORLD CUP 2023,27 JAN 2023,VAL ST. COME (CAN),Men's Moguls,Results Final 2,2529645,HORISHIMA Ikuma,3,False,True
FIS FREESTYLE SKI WORLD CUP 2023,27 JAN 2023,VAL ST. COME (CAN),Men's Moguls,Results Final 2,2533462,PAGE Nick,4,False,False
FIS FREESTYLE SKI WORLD CUP 2023,27 JAN 2023,VAL ST. COME (CAN),Men's Moguls,Results Final 2,2441426,GRAHAM Matt,6,False,False
FIS FREESTYLE SKI WORLD CUP 2023,16 DEC 2022,ALPE D'HUEZ (FRA),Men's Moguls,Results Final 2,2530514,CAVET Benjamin,4,False,False
FIS FREESTYLE SKI WORLD CUP 2023,27 JAN 2023,VAL ST. COME (CAN),Women's Moguls,Results Final 2,2531156,LAFFONT Perrine,4,False,False
FIS FREESTYLE SKI WORLD CUP 2023,27 JAN 2023,VAL ST. COME (CAN),Men's Moguls,Results Final 2,2484937,KINGSBURY Mikael,1,True,True
FIS FREESTYLE SKI WORLD CUP 2023,16 DEC 2022,ALPE D'HUEZ (FRA),Men's Moguls,Results Final 2,2534511,McDONALD Cole,3,False,True
FIS FREESTYLE SKI WORLD CUP 2023,16 DEC 2022,ALPE D'HUEZ (FRA),Women's Moguls,Results Final 2,2537762,LEMLEY Elizabeth,3,False,True
FIS FREESTYLE SKI WORLD CUP 2023,27 JAN 2023,VAL ST. COME (CAN),Women's Moguls,Results Final 2,2530720,ANTHONY Jakara,2,False,True
FIS FREESTYLE SKI WORLD CUP 2023,27 JAN 2023,VAL ST. COME (CAN),Men's Moguls,Results Final 2,2530514,CAVET Benjamin,5,False,False
FIS FREESTYLE SKI WORLD CUP 2023,10 DEC 2022,IDRE FJÄLL (SWE),Women's Moguls,Results Final 2,2534852,KAWAMURA Anri,2,False,True
FIS FREESTYLE SKI WORLD CUP 2023,27 JAN 2023,VAL ST. COME (CAN),Women's Moguls,Results Final 2,2533204,SCHWINGHAMMER,5,False,False
FIS FREESTYLE SKI WORLD CUP 2023,27 JAN 2023,VAL ST. COME (CAN),Men's Moguls,Results Final 2,2532001,WALLBERG Walter,2,False,True
FIS FREESTYLE SKI WORLD CUP 2023,10 DEC 2022,IDRE FJÄLL (SWE),Women's Moguls,Results Final 2,2531156,LAFFONT Perrine,3,False,True
FIS FREESTYLE SKI WORLD CUP 2023,16 DEC 2022,ALPE D'HUEZ (FRA),Men's Moguls,Results Final 2,2533462,PAGE Nick,5,False,False
FIS FREESTYLE SKI WORLD CUP 2023,2 FEB 2023,DEER VALLEY (USA),Men's Moguls,Results Final 2,2528069,SUGIMOTO Kosuke,6,False,False
FIS FREESTYLE SKI WORLD CUP 2023,2 FEB 2023,DEER VALLEY (USA),Women's Moguls,Results Final 2,2531156,LAFFONT Perrine,3,False,True
FIS FREESTYLE SKI WORLD CUP 2023,2 FEB 2023,DEER VALLEY (USA),Men's Moguls,Results Final 2,2484937,KINGSBURY Mikael,2,False,True
FIS FREESTYLE SKI WORLD CUP 2023,17 MAR 2023,ALMATY (KAZ),Women's Moguls,Results Final 2,2532040,YANAGIMOTO Rino,5,False,False
FIS FREESTYLE SKI WORLD CUP 2023,17 MAR 2023,ALMATY (KAZ),Men's Moguls,Results Final 2,2528846,KOLMAKOV Pavel,2,False,True
FIS FREESTYLE SKI WORLD CUP 2023,17 MAR 2023,ALMATY (KAZ),Women's Moguls,Results Final 2,2531156,LAFFONT Perrine,1,True,True
FIS FREESTYLE SKI WORLD CUP 2023,17 MAR 2023,ALMATY (KAZ),Women's Moguls,Results Final 2,2532270,JOHNSON Tess,3,False,True
FIS FREESTYLE SKI WORLD CUP 2023,17 MAR 2023,ALMATY (KAZ),Women's Moguls,Results Final 2,2532031,TOMITAKA Hinako,4,False,False
FIS FREESTYLE SKI WORLD CUP 2023,2 FEB 2023,DEER VALLEY (USA),Men's Moguls,Results Final 2,2530514,CAVET Benjamin,3,False,True
FIS FREESTYLE SKI WORLD CUP 2023,2 FEB 2023,DEER VALLEY (USA),Men's Moguls,Results Final 2,2534089,MARCELLINI Dylan,4,False,False
FIS FREESTYLE SKI WORLD CUP 2023,17 MAR 2023,ALMATY (KAZ),Men's Moguls,Results Final 2,2533462,PAGE Nick,5,False,False
FIS FREESTYLE SKI WORLD CUP 2023,17 MAR 2023,ALMATY (KAZ),Women's Moguls,Results Final 2,2529064,KAUF Jaelin,2,False,True
FIS FREESTYLE SKI WORLD CUP 2023,2 FEB 2023,DEER VALLEY (USA),Women's Moguls,Results Final 2,2529064,KAUF Jaelin,2,False,True
FIS FREESTYLE SKI WORLD CUP 2023,17 MAR 2023,ALMATY (KAZ),Men's Moguls,Results Final 2,2534140,WENDLER Landon,6,False,False
FIS FREESTYLE SKI WORLD CUP 2023,2 FEB 2023,DEER VALLEY (USA),Women's Moguls,Results Final 2,2533204,SCHWINGHAMMER,4,False,False
FIS FREESTYLE SKI WORLD CUP 2023,2 FEB 2023,DEER VALLEY (USA),Men's Moguls,Results Final 2,2441426,GRAHAM Matt,1,True,True
FIS FREESTYLE SKI WORLD CUP 2023,17 MAR 2023,ALMATY (KAZ),Men's Moguls,Results Final 2,2441426,GRAHAM Matt,3,False,True
FIS FREESTYLE SKI WORLD CUP 2023,2 FEB 2023,DEER VALLEY (USA),Men's Moguls,Results Final 2,2532513,VAILLANCOURT Elliot,5,False,False
FIS FREESTYLE SKI WORLD CUP 2023,17 MAR 2023,ALMATY (KAZ),Men's Moguls,Results Final 2,2534858,GRAVENFORS Filip,4,False,False
