event,event_date,venue,discipline,round,athlete,fis_code,rank,run_score,time_points,turns_total,air_total,jump_1_jump_number,jump_1_type,jump_1_degree_diff,jump_1_judge_6_score,jump_1_judge_7_score,jump_2_jump_number,jump_2_type,jump_2_degree_diff,jump_2_judge_6_score,jump_2_judge_7_score
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-03,RUKA (FIN),Men's Moguls,Results Final 2,KINGSBURY Mikael,2484937,1,84.5,15.96,52.2,16.34,1,bF,0.88,8.4,8.6,2,10op,1.05,8.4,8.5
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-03,RUKA (FIN),Men's Moguls,Results Final 2,HORISHIMA Ikuma,2529645,2,80.48,14.52,49.8,16.16,1,bF,0.88,8.5,8.2,2,10op,1.05,8.4,8.4
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-03,RUKA (FIN),Men's Moguls,Results Final 2,GRAHAM Matt,2441426,3,80.12,15.76,49.2,15.16,1,bdF,1.05,6.1,6.2,2,10op,1.05,8.3,8.3
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-03,RUKA (FIN),Women's Moguls,Results Final 2,ANTHONY Jakara,2530720,1,81.69,17.64,48.2,15.85,1,7oG,1.11,8.2,8.2,2,bG,0.92,7.3,7.4
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-03,RUKA (FIN),Women's Moguls,Results Final 2,LAFFONT Perrine,2531156,2,78.33,17.54,47.2,13.59,1,bG,0.92,6.9,7.0,2,7op,0.98,7.3,7.4
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-03,RUKA (FIN),Women's Moguls,Results Final 2,KAWAMURA Anri,2534852,3,78.33,17.95,46.1,14.28,1,bp,0.81,7.8,8.0,2,7op,0.98,7.9,8.2
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-10,IDRE FJÄLL (SWE),Men's Moguls,Results Final 2,PAGE Nick,2533462,1,81.02,17.96,46.8,16.26,1,7oG,1.01,8.2,7.8,2,10op,1.05,8.0,7.6
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-10,IDRE FJÄLL (SWE),Men's Moguls,Results Final 2,KINGSBURY Mikael,2484937,2,79.86,18.13,47.3,14.43,1,10op,1.05,7.6,7.5,2,7op,0.88,7.5,7.3
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-10,IDRE FJÄLL (SWE),Men's Moguls,Results Final 2,WALLBERG Walter,2532001,3,78.98,18.5,44.7,15.78,1,bF,0.88,8.4,8.5,2,10op,1.05,8.1,7.8
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-10,IDRE FJÄLL (SWE),Women's Moguls,Results Final 2,ANTHONY Jakara,2530720,1,81.75,17.78,48.3,15.67,1,7oG,1.11,7.3,7.1,2,bG,0.92,8.5,8.2
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-10,IDRE FJÄLL (SWE),Women's Moguls,Results Final 2,KAWAMURA Anri,2534852,2,80.02,19.17,46.8,14.05,1,7op,0.98,7.2,7.5,2,bG,0.92,7.7,7.2
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-10,IDRE FJÄLL (SWE),Women's Moguls,Results Final 2,LAFFONT Perrine,2531156,3,76.08,19.41,43.7,12.97,1,7op,0.98,7.2,7.8,2,bp,0.81,7.1,6.8
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-16,ALPE D'HUEZ (FRA),Men's Moguls,Results Final 2,HORISHIMA Ikuma,2529645,1,82.66,16.4,48.7,17.56,1,7oG,1.01,8.6,8.0,2,10op,1.05,8.7,8.8
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-16,ALPE D'HUEZ (FRA),Men's Moguls,Results Final 2,KINGSBURY Mikael,2484937,2,80.85,15.29,48.3,17.26,1,bdF,1.05,7.7,8.1,2,10op,1.05,8.4,8.7
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-16,ALPE D'HUEZ (FRA),Men's Moguls,Results Final 2,McDONALD Cole,2534511,3,75.17,16.78,42.6,15.79,1,bdF,1.05,6.5,6.8,2,10op,1.05,8.5,8.3
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-16,ALPE D'HUEZ (FRA),Women's Moguls,Results Final 2,ANTHONY Jakara,2530720,1,79.7,16.24,47.5,15.96,1,7oG,1.11,7.5,7.1,2,bG,0.92,8.4,8.7
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-16,ALPE D'HUEZ (FRA),Women's Moguls,Results Final 2,LAFFONT Perrine,2531156,2,75.81,16.6,45.3,13.91,1,bp,0.81,7.5,6.8,2,7op,0.98,8.4,8.2
