discipline,fis_code,athlete,country,final_wins,podium_finishes
Men's Moguls,2484937,KINGSBURY Mikael,CAN,11,21
Men's Moguls,2529645,HORISHIMA Ikuma,JPN,10,17
Men's Moguls,2441426,GRAHAM Matt,AUS,2,6
Men's Moguls,2537180,MICKEL Charlie,USA,2,4
Men's Moguls,2534089,MARCELLINI Dylan,USA,2,2
Men's Moguls,2532001,WALLBERG Walter,SWE,1,8
Men's Moguls,2535304,BEAULIEU Charles,CAN,1,5
Men's Moguls,2533462,PAGE Nick,USA,1,5
Men's Moguls,2530514,CAVET Benjamin,FRA,1,4
Men's Moguls,2535306,DAWSON Quinn,CAN,1,1
Men's Moguls,2539395,KOEHLER Bradley,CAN,1,1
Men's Moguls,2534858,GRAVENFORS Filip,SWE,0,6
Men's Moguls,2534451,GOODISON Samuel,CAN,0,2
Men's Moguls,2528846,KOLMAKOV Pavel,KAZ,0,2
Men's Moguls,2532513,VAILLANCOURT Elliot,CAN,0,2
Men's Moguls,2538309,BOUGIE Jean-,CAN,0,1
Men's Moguls,2537322,CAREY Cole,CAN,0,1
Men's Moguls,2532530,CORDELL Sam,CAN,0,1
Men's Moguls,2535639,DROUIN Xavier,CAN,0,1
Men's Moguls,2531908,HIRAYAMA Shota,JPN,0,1
Men's Moguls,2538994,HUFF Porter,USA,0,1
Men's Moguls,2534856,JUNG Daeyoon,KOR,0,1
Men's Moguls,2537833,MICHEL Asher,USA,0,1
Men's Moguls,2534511,McDONALD Cole,USA,0,1
Men's Moguls,2528035,PENTTALA Olli,FIN,0,1
Men's Moguls,2530702,PORTELLO Ryan,CAN,0,1
Men's Moguls,2534074,VIEL Julien,CAN,0,1
Men's Moguls,2533386,VIERELA Severi,FIN,0,1
Men's Moguls,2534140,WENDLER Landon,USA,0,1
Men's Moguls,2532161,WOODS Cooper,AUS,0,1
Women's Moguls,2530720,ANTHONY Jakara,AUS,13,15
Women's Moguls,2531156,LAFFONT Perrine,FRA,5,15
Women's Moguls,2529064,KAUF Jaelin,USA,3,15
Women's Moguls,2534251,HOGG Kasey,USA,3,3
Women's Moguls,2532241,GIACCIO Olivia,USA,2,12
Women's Moguls,2533204,SCHWINGHAMMER,CAN,1,4
Women's Moguls,2532270,JOHNSON Tess,USA,1,3
Women's Moguls,2534852,KAWAMURA Anri,JPN,1,3
Women's Moguls,2533613,LINTON Jessica,CAN,1,3
Women's Moguls,2534866,KARIOTIS Kylie,USA,1,1
Women's Moguls,2538248,LAROCHE Florence,CAN,1,1
Women's Moguls,2534235,MIKKELSEN Maya,CAN,0,4
Women's Moguls,2534528,KOEHLER Ashley,CAN,0,3
Women's Moguls,2537762,LEMLEY Elizabeth,USA,0,3
Women's Moguls,2532031,TOMITAKA Hinako,JPN,0,3
Women's Moguls,2531373,SOAR Hannah,USA,0,2
Women's Moguls,2532040,YANAGIMOTO Rino,JPN,0,2
Women's Moguls,2537580,AYAD Anabel,USA,0,1
Women's Moguls,2529074,CARROLL Avital,AUT,0,1
Women's Moguls,2531871,SHAFFER Lulu,USA,0,1
Women's Moguls,2535377,SLETTENE Skylar,USA,0,1
