athlete,fis_code,round,run_count,jump_1_degree_diff_mean,jump_2_degree_diff_mean
ANTHONY Jakara,2530720,Qualification,21,1.11,0.8571428571428571
ANTHONY Jakara,2530720,Final 1,20,1.11,0.865
ANTHONY Jakara,2530720,Deciding Final,15,1.11,0.8906666666666667
BOSCO Emma,2532927,Qualification,14,0.8928571428571429,0.8099999999999999
BOSCO Emma,2532927,Final 1,3,0.92,0.8000000000000002
BOSCO Emma,2532927,Deciding Final,1,0.92,0.81
COOTE Xanthia,2538150,Qualification,5,0.836,0.8200000000000001
COOTE Xanthia,2538150,Final 1,1,0.92,0.81
COOTE Xanthia,2538150,Deciding Final,1,0.92,0.48
GRAHAM Matt,2441426,Qualification,26,0.88,0.8865384615384616
GRAHAM Matt,2441426,Final 1,25,0.9888000000000001,0.9887999999999999
GRAHAM Matt,2441426,Deciding Final,11,0.9727272727272728,0.9881818181818183
HARVEY Jackson,2534735,Qualification,14,0.88,0.8435714285714286
HARVEY Jackson,2534735,Final 1,5,0.8800000000000001,0.8800000000000001
HARVEY Jackson,2534735,Deciding Final,1,0.88,0.88
HILL Edward,2537720,Qualification,9,0.8088888888888889,0.7822222222222223
HILL Edward,2537720,Final 1,1,0.68,0.88
LIVISSIANOS Mac,2535793,Qualification,7,0.7657142857142858,0.85
LIVISSIANOS Mac,2535793,Final 1,1,0.88,0.71
LODGE Lottie,2538154,Qualification,6,0.73,0.92
LODGE Lottie,2538154,Final 1,1,0.78,0.92
LODGE Lottie,2538154,Deciding Final,1,0.78,0.92
LOGAN Oliver,2534330,Qualification,15,0.88,0.8686666666666666
LOGAN Oliver,2534330,Final 1,3,0.88,0.8233333333333333
LOGAN Oliver,2534330,Deciding Final,1,0.88,0.88
MANNS Talia,2539756,Qualification,1,0.78,0.81
MANNS Talia,2539756,Final 1,1,0.78,0.81
MURPHY George,2534254,Qualification,20,0.914,0.7925
PERNICE Lucy,2535795,Qualification,9,0.7977777777777777,0.9033333333333334
PERNICE Lucy,2535795,Final 1,4,0.845,0.9075
ROWLEY Tristan,2535799,Qualification,7,0.8885714285714287,0.9542857142857143
ROWLEY Tristan,2535799,Final 1,1,0.88,1.01
SPEIRS Indiana,2535889,Qualification,2,0.645,0.92
WAKIM Kareema,2537719,Qualification,6,0.7533333333333334,0.8083333333333335
WAKIM Kareema,2537719,Final 1,2,0.8500000000000001,0.78
WILSON Charlotte,2535796,Qualification,14,0.8071428571428572,0.8650000000000001
WILSON Charlotte,2535796,Final 1,11,0.8418181818181818,0.8500000000000001
WILSON Charlotte,2535796,Deciding Final,3,0.8733333333333334,0.8466666666666667
WOODS Cooper,2532161,Qualification,26,0.88,0.88
WOODS Cooper,2532161,Final 1,18,0.9650000000000001,0.8827777777777778
WOODS Cooper,2532161,Deciding Final,1,1.05,0.88
