event,event_date,venue,discipline,round,athlete,fis_code,country,rank,run_score,time_points,turns_total,air_total,jump_1_jump_number,jump_1_type,jump_1_degree_diff,jump_1_judge_6_score,jump_1_judge_7_score,jump_2_jump_number,jump_2_type,jump_2_degree_diff,jump_2_judge_6_score,jump_2_judge_7_score
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-03,RUKA (FIN),Women's Moguls,Results Final 1,ANTHONY Jakara,2530720,AUS,2,77.58,17.18,49.1,11.3,1,7oG,1.11,2.2,4.0,2,bG,0.92,8.6,8.5
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-10,IDRE FJÄLL (SWE),Women's Moguls,Results Final 1,ANTHONY Jakara,2530720,AUS,1,81.6,17.34,47.7,16.56,1,7oG,1.11,7.8,8.3,2,bG,0.92,8.4,8.2
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-16,ALPE D'HUEZ (FRA),Women's Moguls,Results Final 1,ANTHONY Jakara,2530720,AUS,1,80.68,16.14,47.6,16.94,1,7oG,1.11,8.0,8.2,2,bG,0.92,8.7,8.6
FIS FREESTYLE SKI WORLD CUP 2023,2023-01-27,VAL ST. COME (CAN),Women's Moguls,Results Final 1,ANTHONY Jakara,2530720,AUS,1,83.23,18.33,47.5,17.4,1,7oG,1.11,8.3,8.4,2,bG,0.92,8.9,8.8
FIS FREESTYLE SKI WORLD CUP 2023,2023-02-02,DEER VALLEY (USA),Women's Moguls,Results Final 1,ANTHONY Jakara,2530720,AUS,2,80.29,17.53,46.6,16.16,1,7oG,1.11,7.9,7.9,2,bG,0.92,8.1,8.0
"FIS SNOWBOARD, FREESTYLE AND FREESKI WORLD CHAMPIONSHIPS 2023",2023-02-25,BAKURIANI (GEO),Women's Moguls,Results Final 1,ANTHONY Jakara,2530720,AUS,17,55.29,13.89,28.1,13.3,1,7oG,1.11,6.8,6.6,2,bp,0.81,7.5,7.0
FIS FREESTYLE SKI WORLD CUP 2024,2023-12-02,RUKA (FIN),Women's Moguls,Results Final 1,ANTHONY Jakara,2530720,AUS,1,83.12,19.4,46.5,17.22,1,7oG,1.11,8.0,7.8,2,bG,0.92,9.4,9.0
FIS FREESTYLE SKI WORLD CUP 2024,2023-12-08,IDRE FJÄLL (SWE),Women's Moguls,Results Final 1,ANTHONY Jakara,2530720,AUS,1,83.24,16.25,49.8,17.19,1,7oG,1.11,8.5,8.4,2,bG,0.92,8.6,8.4
FIS FREESTYLE SKI WORLD CUP 2024,2023-12-15,ALPE D'HUEZ (FRA),Women's Moguls,Results Final 1,ANTHONY Jakara,2530720,AUS,1,80.42,18.4,47.5,14.52,1,7oG,1.11,7.1,7.1,2,bp,0.81,8.2,8.2
FIS FREESTYLE SKI WORLD CUP 2024,2023-12-22,BAKURIANI (GEO),Women's Moguls,Results Final 1,ANTHONY Jakara,2530720,AUS,1,75.48,16.53,44.5,14.45,1,7oG,1.11,7.0,7.3,2,bp,0.81,8.1,8.0
FIS FREESTYLE SKI WORLD CUP 2024,2024-01-19,VAL ST. COME (CAN),Women's Moguls,Results Final 1,ANTHONY Jakara,2530720,AUS,1,81.18,17.97,47.4,15.81,1,7oG,1.11,7.2,7.3,2,bG,0.92,8.4,8.5
FIS FREESTYLE SKI WORLD CUP 2024,2024-01-26,WATERVILLE (USA),Women's Moguls,Results Final 1,ANTHONY Jakara,2530720,AUS,1,81.4,17.96,47.0,16.44,1,7oG,1.11,8.5,8.3,2,bp,0.81,9.0,8.6
FIS FREESTYLE SKI WORLD CUP 2024,2024-02-01,DEER VALLEY (USA),Women's Moguls,Results Final 1,ANTHONY Jakara,2530720,AUS,13,44.73,11.22,27.4,6.11,1,7oG,1.11,0.2,0.1,2,bp,0.81,7.4,7.3
FIS FREESTYLE SKI WORLD CUP 2024,2024-03-08,ALMATY (KAZ),Women's Moguls,Results Final 1,ANTHONY Jakara,2530720,AUS,1,82.61,18.53,49.6,14.48,1,7oG,1.11,7.3,7.5,2,bp,0.81,7.5,8.0
FIS FREESTYLE SKI WORLD CUP 2025,2024-11-30,RUKA (FIN),Women's Moguls,Results Final 1,ANTHONY Jakara,2530720,AUS,2,77.51,15.93,46.8,14.78,1,7oG,1.11,8.1,8.4,2,bp,0.81,6.9,7.0
FIS FREESTYLE SKI WORLD CUP 2025,2024-12-06,IDRE FJÄLL (SWE),Women's Moguls,Results Final 1,ANTHONY Jakara,2530720,AUS,1,80.36,16.98,46.9,16.48,1,7oG,1.11,8.2,8.3,2,bp,0.81,8.9,9.2
FIS FREESTYLE SKI WORLD CUP 2026,2025-12-07,RUKA (FIN),Women's Moguls,Results Final 1,ANTHONY Jakara,2530720,AUS,2,77.35,16.85,45.9,14.6,1,7oG,1.11,7.0,7.2,2,bp,0.81,8.6,8.0
FIS FREESTYLE SKI WORLD CUP 2026,2025-12-08,RUKA (FIN),Women's Moguls,Results Final 1,ANTHONY Jakara,2530720,AUS,2,78.54,16.48,47.4,14.66,1,7oG,1.11,7.0,6.5,2,bG,0.92,7.6,8.0
FIS FREESTYLE SKI WORLD CUP 2026,2026-01-16,WATERVILLE VALLEY RESORT (USA),Women's Moguls,Results Final 1,ANTHONY Jakara,2530720,AUS,1,81.59,16.57,48.3,16.72,1,7oG,1.11,8.2,8.1,2,bG,0.92,8.6,8.1
FIS FREESTYLE SKI WORLD CUP 2026,2026-02-28,NANTO-TOYAMA (JPN),Women's Moguls,Results Final 1,ANTHONY Jakara,2530720,AUS,13,62.49,20.0,31.9,10.59,1,7oG,1.11,7.9,7.7,2,bp,0.81,1.8,3.0
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-03,RUKA (FIN),Women's Moguls,Results Final 2,ANTHONY Jakara,2530720,AUS,1,81.69,17.64,48.2,15.85,1,7oG,1.11,8.2,8.2,2,bG,0.92,7.3,7.4
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-10,IDRE FJÄLL (SWE),Women's Moguls,Results Final 2,ANTHONY Jakara,2530720,AUS,1,81.75,17.78,48.3,15.67,1,7oG,1.11,7.3,7.1,2,bG,0.92,8.5,8.2
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-16,ALPE D'HUEZ (FRA),Women's Moguls,Results Final 2,ANTHONY Jakara,2530720,AUS,1,79.7,16.24,47.5,15.96,1,7oG,1.11,7.5,7.1,2,bG,0.92,8.4,8.7
FIS FREESTYLE SKI WORLD CUP 2023,2023-01-27,VAL ST. COME (CAN),Women's Moguls,Results Final 2,ANTHONY Jakara,2530720,AUS,2,81.88,18.25,46.7,16.93,1,7oG,1.11,8.1,8.0,2,bG,0.92,8.6,8.8
FIS FREESTYLE SKI WORLD CUP 2023,2023-02-02,DEER VALLEY (USA),Women's Moguls,Results Final 2,ANTHONY Jakara,2530720,AUS,1,80.15,18.12,46.4,15.63,1,7oG,1.11,7.6,7.4,2,bG,0.92,8.0,7.9
FIS FREESTYLE SKI WORLD CUP 2024,2023-12-02,RUKA (FIN),Women's Moguls,Results Final 2,ANTHONY Jakara,2530720,AUS,1,84.18,19.65,46.7,17.83,1,7oG,1.11,8.4,8.5,2,bG,0.92,9.2,9.2
FIS FREESTYLE SKI WORLD CUP 2024,2023-12-08,IDRE FJÄLL (SWE),Women's Moguls,Results Final 2,ANTHONY Jakara,2530720,AUS,1,79.74,15.93,47.1,16.71,1,7oG,1.11,7.7,8.0,2,bG,0.92,9.1,8.3
FIS FREESTYLE SKI WORLD CUP 2024,2023-12-15,ALPE D'HUEZ (FRA),Women's Moguls,Results Final 2,ANTHONY Jakara,2530720,AUS,1,79.98,18.54,46.7,14.74,1,7oG,1.11,8.3,8.2,2,bp,0.81,7.1,6.7
FIS FREESTYLE SKI WORLD CUP 2024,2023-12-22,BAKURIANI (GEO),Women's Moguls,Results Final 2,ANTHONY Jakara,2530720,AUS,1,79.08,16.53,46.5,16.05,1,7oG,1.11,8.0,8.1,2,bp,0.81,8.9,8.7
FIS FREESTYLE SKI WORLD CUP 2024,2024-01-19,VAL ST. COME (CAN),Women's Moguls,Results Final 2,ANTHONY Jakara,2530720,AUS,1,82.01,17.7,47.8,16.51,1,7oG,1.11,7.8,7.8,2,bG,0.92,8.4,8.7
FIS FREESTYLE SKI WORLD CUP 2024,2024-01-26,WATERVILLE (USA),Women's Moguls,Results Final 2,ANTHONY Jakara,2530720,AUS,1,81.22,18.02,47.6,15.6,1,7oG,1.11,8.3,7.8,2,bp,0.81,8.6,7.9
FIS FREESTYLE SKI WORLD CUP 2025,2024-11-30,RUKA (FIN),Women's Moguls,Results Final 2,ANTHONY Jakara,2530720,AUS,2,80.0,15.71,47.3,16.99,1,7oG,1.11,8.1,8.1,2,bG,0.92,8.5,8.9
FIS FREESTYLE SKI WORLD CUP 2025,2024-12-06,IDRE FJÄLL (SWE),Women's Moguls,Results Final 2,ANTHONY Jakara,2530720,AUS,1,82.94,17.56,48.2,17.18,1,7oG,1.11,8.5,8.9,2,bp,0.81,9.3,9.3
FIS FREESTYLE SKI WORLD CUP 2026,2025-12-08,RUKA (FIN),Women's Moguls,Results Final 2,ANTHONY Jakara,2530720,AUS,1,79.89,17.46,47.6,14.83,1,7oG,1.11,6.9,6.5,2,bG,0.92,8.1,8.0
FIS FREESTYLE SKI WORLD CUP 2026,2026-01-16,WATERVILLE VALLEY RESORT (USA),Women's Moguls,Results Final 2,ANTHONY Jakara,2530720,AUS,1,81.17,15.49,49.0,16.68,1,7oG,1.11,7.8,8.1,2,bG,0.92,8.5,8.6
FIS FREESTYLE SKI WORLD CUP 2024,2024-03-08,ALMATY (KAZ),Women's Moguls,Results Overall,ANTHONY Jakara,2530720,AUS,1,82.74,18.23,49.1,15.41,1,7oG,1.11,7.6,8.0,2,bp,0.81,8.2,8.5
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-03,RUKA (FIN),Women's Moguls,Results Qualification,ANTHONY Jakara,2530720,AUS,2,78.2,15.61,46.6,15.99,1,7oG,1.11,7.4,7.5,2,bG,0.92,8.6,8.2
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-09,IDRE FJÄLL (SWE),Women's Moguls,Results Qualification,ANTHONY Jakara,2530720,AUS,1,80.21,17.37,47.4,15.44,1,7oG,1.11,7.0,7.0,2,bG,0.92,8.3,8.4
