event,event_date,venue,discipline,round,athlete,fis_code,country,rank,run_score,time_points,turns_total,air_total,jump_1_jump_number,jump_1_type,jump_1_degree_diff,jump_1_judge_6_score,jump_1_judge_7_score,jump_2_jump_number,jump_2_type,jump_2_degree_diff,jump_2_judge_6_score,jump_2_judge_7_score
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-16,ALPE D'HUEZ (FRA),Men's Moguls,Results Final 1,PAGE Nick,2533462,USA,2,79.76,15.95,46.2,17.61,1,7oG,1.01,8.2,8.4,2,10op,1.05,8.7,8.9
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-16,ALPE D'HUEZ (FRA),Men's Moguls,Results Final 1,HOLMGREN Emil,2534210,SWE,12,66.13,14.6,40.2,11.33,1,10op,1.05,6.4,6.8,2,bp,0.71,6.0,6.4
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-16,ALPE D'HUEZ (FRA),Men's Moguls,Results Final 2,HORISHIMA Ikuma,2529645,JPN,1,82.66,16.4,48.7,17.56,1,7oG,1.01,8.6,8.0,2,10op,1.05,8.7,8.8
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-16,ALPE D'HUEZ (FRA),Women's Moguls,Results Final 1,KAJIWARA Yuki,2533769,JPN,13,65.97,17.61,37.1,11.26,1,bp,0.81,6.3,5.8,2,7op,0.98,6.5,6.5
FIS FREESTYLE SKI WORLD CUP 2023,2023-01-27,VAL ST. COME (CAN),Women's Moguls,Results Qualification,SCHWINGHAMMER,2533204,CAN,5,74.64,17.42,42.8,14.42,1,bT,0.78,8.2,8.4,2,bG,0.92,8.6,8.7
FIS FREESTYLE SKI WORLD CUP 2023,2023-01-27,VAL ST. COME (CAN),Women's Moguls,Results Qualification,MACUGA Alli,2534186,USA,19,63.39,17.78,35.3,10.31,1,bp,0.81,5.9,5.8,2,7op,0.98,5.5,5.9
FIS FREESTYLE SKI WORLD CUP 2023,2023-01-27,VAL ST. COME (CAN),Women's Moguls,Results Qualification,DEGROOTE Fantine,2533547,FRA,28,35.98,11.93,10.4,13.65,1,bG,0.92,7.6,8.0,2,bp,0.81,8.0,8.0
FIS FREESTYLE SKI WORLD CUP 2023,2023-01-27,VAL ST. COME (CAN),Men's Moguls,Results Final 1,KINGSBURY Mikael,2484937,CAN,1,83.74,17.58,49.8,16.36,1,bF,0.88,9.0,9.1,2,10op,1.05,8.0,8.0
FIS FREESTYLE SKI WORLD CUP 2023,2023-02-02,DEER VALLEY (USA),Men's Moguls,Results Final 1,KINGSBURY Mikael,2484937,CAN,2,80.5,16.57,48.9,15.03,1,10op,1.05,7.1,7.3,2,7op,0.88,8.5,8.5
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-16,ALPE D'HUEZ (FRA),Men's Moguls,Results Final 1,WALLBERG Walter,2532001,SWE,4,78.01,16.15,46.2,15.66,1,bF,0.88,8.4,8.6,2,10op,1.05,8.1,7.5
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-16,ALPE D'HUEZ (FRA),Men's Moguls,Results Final 1,SUGIMOTO Kosuke,2528069,JPN,11,69.99,13.98,44.1,11.91,1,7oG,1.01,5.8,5.8,2,7op,0.88,6.6,7.2
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-16,ALPE D'HUEZ (FRA),Women's Moguls,Results Final 2,ANTHONY Jakara,2530720,AUS,1,79.7,16.24,47.5,15.96,1,7oG,1.11,7.5,7.1,2,bG,0.92,8.4,8.7
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-16,ALPE D'HUEZ (FRA),Women's Moguls,Results Final 2,LAFFONT Perrine,2531156,FRA,2,75.81,16.6,45.3,13.91,1,bp,0.81,7.5,6.8,2,7op,0.98,8.4,8.2
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-16,ALPE D'HUEZ (FRA),Women's Moguls,Results Final 2,KAUF Jaelin,2529064,USA,6,47.07,17.78,18.3,10.99,1,bG,0.92,8.2,8.4,2,S,0.48,7.0,7.0
FIS FREESTYLE SKI WORLD CUP 2023,2023-01-27,VAL ST. COME (CAN),Women's Moguls,Results Qualification,GIACCIO Olivia,2532241,USA,9,72.38,15.06,44.1,13.22,1,bF,0.98,7.3,7.2,2,7op,0.98,6.2,6.3
FIS FREESTYLE SKI WORLD CUP 2023,2023-01-27,VAL ST. COME (CAN),Women's Moguls,Results Qualification,JOHNSON Tess,2532270,USA,22,58.07,17.2,30.2,10.67,1,bG,0.92,6.5,7.2,2,7o,0.95,4.2,5.0
FIS FREESTYLE SKI WORLD CUP 2023,2023-01-27,VAL ST. COME (CAN),Women's Moguls,Results Qualification,HU Qiaonan,2537260,CHN,31,15.79,9.13,0.3,6.36,1,bp,0.81,4.0,4.1,2,bG,0.92,3.5,3.2
FIS FREESTYLE SKI WORLD CUP 2023,2023-01-27,VAL ST. COME (CAN),Women's Moguls,Results Final 1,ANTHONY Jakara,2530720,AUS,1,83.23,18.33,47.5,17.4,1,7oG,1.11,8.3,8.4,2,bG,0.92,8.9,8.8
