event,event_date,venue,discipline,round,athlete,fis_code,rank,run_score,time_points,turns_total,air_total,jump_1_jump_number,jump_1_type,jump_1_degree_diff,jump_1_judge_6_score,jump_1_judge_7_score,jump_2_jump_number,jump_2_type,jump_2_degree_diff,jump_2_judge_6_score,jump_2_judge_7_score,podium_rank
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-03,RUKA (FIN),Men's Moguls,Results Final 1,KINGSBURY Mikael,2484937,1,83.36,15.34,51.4,16.62,1,bF,0.88,8.5,8.4,2,10op,1.05,8.8,8.7,1
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-03,RUKA (FIN),Men's Moguls,Results Final 2,KINGSBURY Mikael,2484937,1,84.5,15.96,52.2,16.34,1,bF,0.88,8.4,8.6,2,10op,1.05,8.4,8.5,1
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-03,RUKA (FIN),Men's Moguls,Results Qualification,KINGSBURY Mikael,2484937,1,79.06,16.0,48.9,14.16,1,bF,0.88,7.6,7.8,2,7op,0.88,8.5,8.3,1
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-03,RUKA (FIN),Men's Moguls,Results Final 1,HORISHIMA Ikuma,2529645,2,81.09,14.57,49.6,16.92,1,bF,0.88,8.1,8.9,2,10op,1.05,8.8,9.2,2
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-03,RUKA (FIN),Men's Moguls,Results Final 2,HORISHIMA Ikuma,2529645,2,80.48,14.52,49.8,16.16,1,bF,0.88,8.5,8.2,2,10op,1.05,8.4,8.4,2
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-03,RUKA (FIN),Men's Moguls,Results Qualification,HORISHIMA Ikuma,2529645,6,75.24,13.88,46.5,14.86,1,bF,0.88,8.4,8.6,2,7op,0.88,8.3,8.5,2
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-03,RUKA (FIN),Men's Moguls,Results Final 1,GRAHAM Matt,2441426,4,80.73,15.38,48.4,16.95,1,bdF,1.05,8.3,8.3,2,10op,1.05,7.9,7.8,3
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-03,RUKA (FIN),Men's Moguls,Results Final 2,GRAHAM Matt,2441426,3,80.12,15.76,49.2,15.16,1,bdF,1.05,6.1,6.2,2,10op,1.05,8.3,8.3,3
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-03,RUKA (FIN),Men's Moguls,Results Qualification,GRAHAM Matt,2441426,7,75.09,14.74,46.5,13.85,1,bF,0.88,7.9,7.8,2,7op,0.88,8.1,7.7,3
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-03,RUKA (FIN),Women's Moguls,Results Final 1,ANTHONY Jakara,2530720,2,77.58,17.18,49.1,11.3,1,7oG,1.11,2.2,4.0,2,bG,0.92,8.6,8.5,1
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-03,RUKA (FIN),Women's Moguls,Results Final 2,ANTHONY Jakara,2530720,1,81.69,17.64,48.2,15.85,1,7oG,1.11,8.2,8.2,2,bG,0.92,7.3,7.4,1
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-03,RUKA (FIN),Women's Moguls,Results Qualification,ANTHONY Jakara,2530720,2,78.2,15.61,46.6,15.99,1,7oG,1.11,7.4,7.5,2,bG,0.92,8.6,8.2,1
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-03,RUKA (FIN),Women's Moguls,Results Final 1,LAFFONT Perrine,2531156,1,78.53,17.23,47.3,14.0,1,bG,0.92,6.7,6.4,2,7op,0.98,8.1,8.2,2
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-03,RUKA (FIN),Women's Moguls,Results Final 2,LAFFONT Perrine,2531156,2,78.33,17.54,47.2,13.59,1,bG,0.92,6.9,7.0,2,7op,0.98,7.3,7.4,2
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-03,RUKA (FIN),Women's Moguls,Results Qualification,LAFFONT Perrine,2531156,1,79.76,16.95,49.4,13.41,1,bG,0.92,7.1,7.9,2,bp,0.81,8.3,7.8,2
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-03,RUKA (FIN),Women's Moguls,Results Final 1,KAWAMURA Anri,2534852,5,74.85,16.8,43.5,14.55,1,bp,0.81,7.8,8.2,2,7op,0.98,8.2,8.3,3
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-03,RUKA (FIN),Women's Moguls,Results Final 2,KAWAMURA Anri,2534852,3,78.33,17.95,46.1,14.28,1,bp,0.81,7.8,8.0,2,7op,0.98,7.9,8.2,3
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-03,RUKA (FIN),Women's Moguls,Results Qualification,KAWAMURA Anri,2534852,6,72.06,15.04,42.9,14.12,1,bp,0.81,7.7,7.6,2,7op,0.98,8.2,8.0,3
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-10,IDRE FJÄLL (SWE),Men's Moguls,Results Final 1,PAGE Nick,2533462,3,79.14,17.02,45.7,16.42,1,7oG,1.01,8.1,7.8,2,10op,1.05,7.8,8.2,1
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-10,IDRE FJÄLL (SWE),Men's Moguls,Results Final 2,PAGE Nick,2533462,1,81.02,17.96,46.8,16.26,1,7oG,1.01,8.2,7.8,2,10op,1.05,8.0,7.6,1
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-10,IDRE FJÄLL (SWE),Men's Moguls,Results Final 1,KINGSBURY Mikael,2484937,4,78.8,17.57,45.9,15.33,1,10op,1.05,7.6,7.7,2,7op,0.88,8.1,8.5,2
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-10,IDRE FJÄLL (SWE),Men's Moguls,Results Final 2,KINGSBURY Mikael,2484937,2,79.86,18.13,47.3,14.43,1,10op,1.05,7.6,7.5,2,7op,0.88,7.5,7.3,2
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-10,IDRE FJÄLL (SWE),Men's Moguls,Results Final 1,WALLBERG Walter,2532001,5,78.45,18.7,45.0,14.75,1,bF,0.88,8.1,7.8,2,10op,1.05,7.3,7.5,3
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-10,IDRE FJÄLL (SWE),Men's Moguls,Results Final 2,WALLBERG Walter,2532001,3,78.98,18.5,44.7,15.78,1,bF,0.88,8.4,8.5,2,10op,1.05,8.1,7.8,3
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-10,IDRE FJÄLL (SWE),Women's Moguls,Results Final 1,ANTHONY Jakara,2530720,1,81.6,17.34,47.7,16.56,1,7oG,1.11,7.8,8.3,2,bG,0.92,8.4,8.2,1
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-10,IDRE FJÄLL (SWE),Women's Moguls,Results Final 2,ANTHONY Jakara,2530720,1,81.75,17.78,48.3,15.67,1,7oG,1.11,7.3,7.1,2,bG,0.92,8.5,8.2,1
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-10,IDRE FJÄLL (SWE),Women's Moguls,Results Final 1,KAWAMURA Anri,2534852,2,79.06,18.5,45.8,14.76,1,7op,0.98,7.6,8.1,2,bG,0.92,7.6,7.8,2
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-10,IDRE FJÄLL (SWE),Women's Moguls,Results Final 2,KAWAMURA Anri,2534852,2,80.02,19.17,46.8,14.05,1,7op,0.98,7.2,7.5,2,bG,0.92,7.7,7.2,2
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-10,IDRE FJÄLL (SWE),Women's Moguls,Results Final 1,LAFFONT Perrine,2531156,4,75.71,19.45,43.1,13.16,1,7op,0.98,7.3,7.6,2,bp,0.81,7.0,7.5,3
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-10,IDRE FJÄLL (SWE),Women's Moguls,Results Final 2,LAFFONT Perrine,2531156,3,76.08,19.41,43.7,12.97,1,7op,0.98,7.2,7.8,2,bp,0.81,7.1,6.8,3
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-16,ALPE D'HUEZ (FRA),Men's Moguls,Results Final 1,HORISHIMA Ikuma,2529645,1,80.43,15.34,48.1,16.99,1,7oG,1.01,8.2,8.3,2,10op,1.05,8.4,8.1,1
