event,event_date,venue,discipline,athlete,fis_code,podium_rank,metric,Qualification,Final 1,Deciding Final
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-03,RUKA (FIN),Men's Moguls,KINGSBURY Mikael,2484937,1,run_score,79.06,83.36,84.5
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-03,RUKA (FIN),Men's Moguls,KINGSBURY Mikael,2484937,1,air_total,14.16,16.62,16.34
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-03,RUKA (FIN),Men's Moguls,KINGSBURY Mikael,2484937,1,turns_total,48.9,51.4,52.2
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-03,RUKA (FIN),Men's Moguls,KINGSBURY Mikael,2484937,1,time_points,16.0,15.34,15.96
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-03,RUKA (FIN),Men's Moguls,KINGSBURY Mikael,2484937,1,jump_1_degree_diff,0.88,0.88,0.88
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-03,RUKA (FIN),Men's Moguls,KINGSBURY Mikael,2484937,1,jump_2_degree_diff,0.88,1.05,1.05
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-03,RUKA (FIN),Men's Moguls,KINGSBURY Mikael,2484937,1,jump_1_judge_6_score,7.6,8.5,8.4
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-03,RUKA (FIN),Men's Moguls,KINGSBURY Mikael,2484937,1,jump_1_judge_7_score,7.8,8.4,8.6
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-03,RUKA (FIN),Men's Moguls,KINGSBURY Mikael,2484937,1,jump_2_judge_6_score,8.5,8.8,8.4
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-03,RUKA (FIN),Men's Moguls,KINGSBURY Mikael,2484937,1,jump_2_judge_7_score,8.3,8.7,8.5
FIS FREESTYLE SKI WORLD CUP 2023,2022-12-03,RUKA (FIN),Men's Moguls,HORISHIMA Ikuma,2529645,2,run_score,75.24,81.09,80.48
